@@,name,position
->,Nestor Mamadou Nali,Minister of Public Health and Population->Ministre de la Santé Publique et de la Population
->,Marcel Malonga,"Minister of Territorial Administration->Ministre de l'Intérieur, chargé de l'Administration du Territoire"
->,Jean-Pierre Lebouder,"Minister of Economy, Finance and Planning->Ministre d'État, chargé du Plan, de l'Économie, des Finances, du Budget et de la Coopération Internationale"
->,Célestin Gaombalet,"Prime Minister of the Central African Republic->Premier ministre, chef du Gouvernement"
->,Charles Hervé Wénézoui,"Minister of Foreign Affairs->Ministre des Affaires étrangères, de l'Intégration Régionale et de la Francophonie"
->,Bruno Dacko,Minister of Tourism and Craft Industry Development->Ministre chargé du Développement du Tourisme et de l'Artisanat
->,Aimé Amoudou,"Minister of Trade, Industry and Private Sector Promotion->Ministre du Commerce, de l'Industrie et de la Promotion du Secteur Privé"
->,Abdou Karim Meckassoua,"Minister of Foreign Affairs, Regional Integration and Francophone Affairs->Ministre d'État, chargé de l'Éducation Nationale, de l'Alphabétisation, de l'Enseignement Supérieur, et de la Recherche"
---,Yacinthe Wodobodé,"Minister of Trade, Industry and Private Sector Promotion"
---,Sylvain Mbutingaye,Minister of Energy and Mines
---,Pierre Guianza,Minister of Agricultural Modernisation and Development
---,Parfait Anicet Mbay,"Minister of Communications, National Reconciliation and Democratic and Civic Culture"
---,Mpokomanji Soli,Minister of Equipment and Transport
---,Michel-Paulin Bondeboli,Minister of Interior and Public Security
---,Michel Salle,"Minister of Water, Forests, Hunting and Fishing"
---,Maurice Yondu,"Minister of Water, Forests and Fisheries"
---,Leon Salam,"Minister of Youths, Sports, Arts and Culture"
---,Lea Doumbta,"Minister of Family, Social Affairs and National Solidarity"
---,Joseph Ki Tiki Kouamba,"Minister of Environment, Sustainable Development and National Economy"
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security"
---,Idriss Salao,"Minister of Posts and Telecommunications, New Technologies"
---,Guy Kolingba,Minister of Youth and Sport
---,Faustin Baudou,"Minister of Justice, Human Rights and Good Governance"
---,Desire Kolingba,Minister of Youth and Sport
---,Denis Kosibela,Minister of Livestock Development
---,Daniel Emery Dede,Minister of Agricultural Modernisation and Development
---,Bevaroua Lala,"Minister of National Education, Literacy, Higher Education and Research"
---,Abraham Gotobulu,Minister of Housing and Town Planning
+++,Étienne Natalo,Ministre délégué auprès du Ministre d'État à l'Education Nationale chargé de l'Enseignement primaire et secondaire
+++,"le Général d'Armée François Bozizé, Chef de l’État","Ministre de la Défense nationale, des Anciens combattants, des Victimes de guerre, du Désarmement et de la Restructuration de l'Armée"
+++,Zarambaud Assingambi,Ministre chargé du Secrétariat général du Gouvernement et des Relations avec le Parlement
+++,Sonny M'Pokomandji,Ministre de l'Equipement et des Transports
+++,Mme Yacinthe Wodobodé,"Ministre de la Justice, des Droits de l'Homme, et de la Bonne Gouvernance"
+++,Léa Doumta,Ministre des Affaires Sociales et de la Solidarité nationale
+++,Lieutenant-colonel Michel Sallé,Ministre des Eaux-Forêts-Chasses et Pêches
+++,"Lieutenant-colonel Guy Kolingba, puis Désiré Kolingba, après le 7 janvier 2004","Ministre de la Jeunesse, des Sports, des Arts et de la Culture"
+++,Lieutenant-Colonel Parfait M'baye,"Ministre de la Communication, de la Réconciliation nationale, de la Culture Démocratique et Civique"
+++,Joseph Kiticki-Kouamba,"Ministre de l'Environnement, du Développement durable et de l'Économie sociale"
+++,Jacques Bothy,"Ministre de la Fonction Publique, du Travail, de la Sécurité sociale et de l'Insertion professionnelle"
+++,Idris Salao,Ministre des Postes et Télécommunications chargé des nouvelles technologies
+++,Guy Moskit,"Ministre délégué auprès du Ministre des Affaires étrangères, chargé de l'Intégration Régionale et de la Francophonie"
+++,Désiré Pendémou,"Ministre délégué auprès du Ministre de l'Equipement, chargé de la Promotion de l'Aviation civile"
+++,Denis Kossi-Bella,Ministre chargé du Développement de l'Élevage
+++,Daniel N'Ditiféï Boysémbé,"Ministre délégué auprès du Ministre d'État chargé du Plan, de l'Économie, des Finances, du Budget, et de la Coopération Internationale, chargé du Plan et de la Coopération Internationale"
+++,Daniel Emery Dédé,Ministre de la Modernisation et du Développement de l'Agriculture
+++,Commandant Sylvain N'doutingaï,Ministre des Mines et de l'Énergie
+++,Colonel Mohammed Madi Marboua,"Ministre délégué auprès du Ministre d'État, chargé du Plan, de l'Économie, des Finances, du Budget, et de la Coopération Internationale, chargé des finances et du Budget"
+++,Colonel Jules Bernard Ouandé,Ministre délégué auprès du Ministre de l'Intérieur chargé de la Sécurité Publique
+++,Abraham Gotto N'Goulou,"Ministre de la Reconstruction des édifices publics, de l'urbanisme et du logement"
