@@,name,position
->,Élie Doté,"Prime Minister of the Central African Republic->Premier ministre, chef du Gouvernement"
->,Théodore Dabanga,Minister of Finance->Ministre des Finances
->,Sylvain Maliko,"Minister of Economy, Planning and International Cooperation->Ministre de l’Économie, du Plan et de la Coopération Internationale"
->,Paul Otto,Minister of Justice->Ministre de la Justice
->,Job Izima,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights->Ministre de la Communication, de la Réconciliation nationale, de la Culture démocratique et de la Promotion des droits de l'homme"
->,Jean-Paul Ngoupandé,"Minister of Foreign Affairs->Ministre d’État aux Affaires Etrangères, à l'Intégration régionale et à la Francophonie"
->,Charles Massi,"Minister of Works, Civil Aviation and Transport->Ministre d’État à l’Équipement, aux Transports, à l'Aviation Civile"
->,Bernard Gonda,"Minister of Reconstruction of Public Buildings, Urban Development and Housing->Ministre de la Reconstruction des édifices publics, de l'Urbanisme et du Logement"
---,Émilie Béatrice Epaye,Minister of Industry and Trade
---,Timoleon Mbaikoua,Minister of Education
---,Sylvain Mbutingaye,Minister of Energy and Mines
---,Solange Pagonéndji N'dackala,"Minister of Family, Social Affairs and National Solidarity"
---,Jean-Eudes Teya,"Minister of Water, Forests, Hunting and Fishing"
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security"
---,Fidèle Gounadjika,"Minister of Posts and Telecommunications, New Technologies"
---,Dieudonné-Stanislas M’Bangot,Minister of Relations with the Parliament
---,Desire Kolingba,Minister of Youth and Sport
---,Côme Zoumara,Minister of Foreign Affairs
---,Anne-Marie N'gouyombo,Minister of Tourism and Craft Industry Development
+++,lieutenant-colonel Parfait-Anicet M'bay,Ministre de l'Agriculture et du développement rural
+++,lieutenant-colonel Michel Sallé,Ministre de l'Intérieur et de la Sécurité publique
+++,"le général d'armée François Bozizé, chef de l’État","Ministre de la Défense nationale, des Anciens combattants, des Victimes de guerre, du Désarmement et de la Restructuration de l'armée"
+++,commandant Sylvain N'doutingaï,Ministre des Mines et de l’Énergie
+++,Timoléon M'baïkoua,Ministre de l’Éducation nationale
+++,Nicolas N'ganzé,Ministre délégué auprès du ministre des Finances
+++,Mme Béatrice-Emilie Epaye,"Ministre du Commerce, de l'Industrie et des PME"
+++,Mme Anne-Marie N'gouyombo,Ministre du Tourisme et de l'Artisanat
+++,Marie-Solange Pagonéndji Ndakala,Ministre des Affaires Sociales
+++,Léa Doumta,Ministre de la Santé publique
+++,Laurent N'gon-Baba,Ministre délégué auprès du ministre d'Etat aux Affaires étrangères
+++,Jean-Prosper Wodobodé,"Ministre délégué auprès du ministre d'Etat à l'Equipement, aux Transports chargé de l'Equipement"
+++,Jean-Eudes Téya,"Ministre d’État aux Eaux, Forêts, Chasses et Pêche, chargé de l'Environnement"
+++,Jacques Boti,Ministre de la Fonction publique
+++,Fidèle Gouandjika,"Ministre des Postes et Télécommunications, chargé des Nouvelles technologies"
+++,Désiré Zanga-Kolingba,Ministre de la Jeunesse et des Sports
+++,Dieudonné-Stanislas M'bangot,Ministre chargé du Secrétariat général du gouvernement et des Relations avec le Parlement
+++,Aurélien-Simplice Zingas,Ministre délégué auprès du ministre de l'Education Nationale
+++,Adamou Mahamat,Ministre délégué auprès du ministre de l'Agriculture
