@@,name,position
---,Théodore Dabanga,Minister of Finance
---,Paul Otto,Minister of Justice
---,Job Izima,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights"
---,Jean-Francis Bozizé,Minister Delegate for Disarmament
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security"
---,Dieudonné-Stanislas M’Bangot,Minister of Relations with the Parliament
---,Charles Massi,"Minister of Works, Civil Aviation and Transport"
---,Anne-Marie N'gouyombo,Minister of Tourism and Craft Industry Development
+++,le Général d'Armée François Bozizé,"Ministre de la Défense nationale, des Anciens combattants, des Victimes de guerre, du Désarmement et de la Restructuration de l'Armée"
+++,M. Francis Bozizé,"Ministre Délégué auprès du ministre de la Défense nationale, des Anciens Combattants, des Victimes de Guerre, du désarmement et de la restructuration de l'Armée chargé du Désarmement, de la restructuration de l'Armée, des Anciens Combattants et des Victimes de Guerre"
