item,name,positionItem,position,startDate,endDate,source,sourceDate,psid
Q108292458,Parfait Anicet Mbay,Q112062113,"Minister of Communications, National Reconciliation and Democratic and Civic Culture",2003-03-31,2004-09-02,,,Q108292458-EC168A03-B30B-4308-B136-C41492B348CE
Q112062377,Abdou Karim Meckassoua,Q112062129,"Minister of Foreign Affairs, Regional Integration and Francophone Affairs",2003-03-31,2003-12-15,,,Q112062377-A252E633-5CF4-4C16-A00D-92DECE420466
Q112062378,Abraham Gotobulu,Q112062132,Minister of Housing and Town Planning,2003-03-31,2005-06-19,,,Q112062378-8CC6344E-CD3D-48E5-896A-49D127B49C7B
Q112062389,Bevaroua Lala,Q112062142,"Minister of National Education, Literacy, Higher Education and Research",2003-03-31,2003-12-15,,,Q112062389-15D644EF-C0BA-4A57-8A6D-B4318E69BEEC
Q112062390,Bruno Dacko,Q112062153,Minister of Tourism and Craft Industry Development,2003-03-31,2005-06-19,,,Q112062390-3B665A0F-8C08-4859-871F-ED7CFB7FBD03
Q112062394,Denis Kosibela,Q112062141,Minister of Livestock Development,2003-03-31,2004-09-02,,,Q112062394-3A8068C0-C315-4951-ADCB-5B229011AE58
Q112062397,Faustin Baudou,Q112062140,"Minister of Justice, Human Rights and Good Governance",2003-03-31,2003-12-15,,,Q112062397-0A4B9337-F810-4753-9818-2AA81F064660
Q112062404,Idriss Salao,Q112062144,"Minister of Posts and Telecommunications, New Technologies",2003-03-31,2005-06-19,,,Q112062404-EE28F0A0-C0DF-491C-AE10-41F962D088BC
Q112062406,Jacques Voti,Q112062107,"Minister of Civil Service, Labour and Social Security",2003-03-31,2013-03-24,,,Q112062406-D2CDCD9B-EBED-4BE1-9375-E90005F28C92
Q112062413,Joseph Ki Tiki Kouamba,Q112062122,"Minister of Environment, Sustainable Development and National Economy",2003-03-31,2004-09-02,,,Q112062413-1218F772-2116-4D6C-94F0-5F5064E084D8
Q112062417,Lea Doumbta,Q112062127,"Minister of Family, Social Affairs and National Solidarity",2003-03-31,2004-09-02,,,Q112062417-806CF439-4280-45A9-9933-4A6C70E0BF34
Q112062418,Leon Salam,Q112062161,"Minister of Youths, Sports, Arts and Culture",2003-03-31,2003-12-15,,,Q112062418-DDA00BAE-5D25-4A0C-81F0-9F2569AAE1F2
Q112062420,Marcel Malonga,Q112062151,Minister of Territorial Administration,2003-03-31,2003-12-15,,,Q112062420-3450CD52-E417-47DA-B78D-5D47B7AC9DCC
Q112062422,Maurice Yondu,Q112062157,"Minister of Water, Forests and Fisheries",2003-03-31,2003-12-15,,,Q112062422-4D181F1A-F96F-4D6C-9EF9-25CC2150665F
Q112062426,Michel-Paulin Bondeboli,Q112062136,Minister of Interior and Public Security,2003-03-31,2003-12-15,,,Q112062426-FBB777B6-D3BF-4C82-B5A4-2A855A766505
Q112062427,Mpokomanji Soli,Q112062124,Minister of Equipment and Transport,2003-03-31,2005-06-19,,,Q112062427-C029CEDF-95B9-4033-8F20-106A6A74A095
Q112062429,Nestor Mamadou Nali,Q112062147,Minister of Public Health and Population,2003-03-31,2005-06-19,,,Q112062429-E55210CA-426C-45A6-94F8-36FDAA6CA46C
Q112062433,Pierre Guianza,Q112062104,Minister of Agricultural Modernisation and Development,2003-03-31,2003-12-15,,,Q112062433-44A0443E-3C34-4973-B31E-1158C8DF767E
Q112062439,Sylvain Mbutingaye,Q112062121,Minister of Energy and Mines,2003-03-31,2013-03-24,,,Q112062439-0266F264-912B-4DD5-8FD4-076BD0BB49F9
Q20995546,Yacinthe Wodobodé,Q112062156,"Minister of Trade, Industry and Private Sector Promotion",2003-03-31,2003-12-15,,,Q20995546-B62F307F-B51C-4F9F-A202-417F173B8615
Q318433,Abel Goumba,Q16773091,Prime Minister of the Central African Republic,2003-03-15,2003-12-11,,,Q318433-6EB58FFE-799F-4B36-94E0-07490D9A21A0
