@@,name,position
->,Yacinthe Wodobodé,"Minister of Trade, Industry and Private Sector Promotion->Ministre du Commerce, de l'Industrie et de la Promotion du secteur privé"
->,Marcel Malonga,Minister of Territorial Administration->Ministre de l'Administration du territoire
->,Idriss Salao,"Minister of Posts and Telecommunications, New Technologies->Ministre des Postes et Télécommunications chargé des nouvelles technologies"
->,Bruno Dacko,"Minister of Tourism and Craft Industry Development->Ministre du Développement, du Tourisme et de l'Artisanat"
---,Sylvain Mbutingaye,Minister of Energy and Mines
---,Pierre Guianza,Minister of Agricultural Modernisation and Development
---,Parfait Anicet Mbay,"Minister of Communications, National Reconciliation and Democratic and Civic Culture"
---,Nestor Mamadou Nali,Minister of Public Health and Population
---,Mpokomanji Soli,Minister of Equipment and Transport
---,Michel-Paulin Bondeboli,Minister of Interior and Public Security
---,Maurice Yondu,"Minister of Water, Forests and Fisheries"
---,Leon Salam,"Minister of Youths, Sports, Arts and Culture"
---,Lea Doumbta,"Minister of Family, Social Affairs and National Solidarity"
---,Joseph Ki Tiki Kouamba,"Minister of Environment, Sustainable Development and National Economy"
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security"
---,Faustin Baudou,"Minister of Justice, Human Rights and Good Governance"
---,Denis Kosibela,Minister of Livestock Development
---,Bevaroua Lala,"Minister of National Education, Literacy, Higher Education and Research"
---,Abraham Gotobulu,Minister of Housing and Town Planning
---,Abel Goumba,Prime Minister of the Central African Republic
---,Abdou Karim Meckassoua,"Minister of Foreign Affairs, Regional Integration and Francophone Affairs"
+++,lieutenant-colonel Michel Paulin Bondéboli,Ministre de l'Intérieur chargé de la Sécurité publique
+++,colonel Jules Ouandé,Secrétaire d'État à la Défense chargé du Désarmement
+++,capitaine Parfait M'Baye,"Ministre de la Communication, de la Réconciliation nationale, de la Culture démocratique et civique"
+++,Zarambaud Assingambi,Ministre chargé du Secrétariat général du gouvernement et des Relations avec le Conseil national de transition
+++,Pr Nestor Mamadou Nali,Ministre de la Santé et de la Population
+++,Pr Abel Goumba,"Premier ministre, chef du Gouvernement, ministre de l'Économie, des Finances, du Budget, du Plan, et de la Coopération internationale"
+++,Pokomandji Sonny,Ministre de l'Équipement et des Transports
+++,Pierre Gbianza,Ministre de la Modernisation et du Développement de l'agriculture
+++,Philippe Ouaradagué,Ministre délégué au Plan et à la Coopération internationale
+++,Maurice Yondo,"Ministre des Eaux, Forêts, Chasse et Pêche"
+++,Léon Salam,"Ministre de la Jeunesse, des Sports, des Arts et de la Culture"
+++,Léa Doumta,"Ministre de la Famille, des Affaires sociales et de la Solidarité nationale"
+++,Lieutenant Sylvain N'Doutingai,Ministre de l'Energie et des Mines
+++,Lazare Yagao N'Gama,"Secrétaire d'État à l'Éducation nationale, chargé de l'Enseignement supérieur et de la Recherche"
+++,Karim Meckassoua,"Ministre des Affaires étrangères, de l'Intégration régionale et de la Francophonie"
+++,Joseph Kitiki Kouamba,Ministre de l'Environnement et de l'Ecologie nationale
+++,Jacques Bothy,"Ministre de la Fonction publique, du Travail, de la Sécurité sociale et de l'Insertion sociale"
+++,Faustin M'bodou,Ministre de la Justice et des Droits de l'Homme
+++,Denis Kossi-Bella,Ministre chargé du Développement de l'élevage
+++,Daniel N'ditiféi Boysémbé,"Ministre délégué auprès du Premier ministre, chargé de l'Économie, des Finances et du Budget"
+++,Charles Ouénézoui,"Secrétaire d'État aux Affaires étrangères, à l'Intégration régionale et à la Francophonie"
+++,Bévarah Lala,"Ministre de l'Éducation nationale, de l'Alphabétisation, de l'Enseignement supérieur et de la Recherche"
+++,Abraham Goto N'Goulou,"Ministre de la Reconstruction des édifices publics, de l'Urbanisme, et des Logements"
