@@,name,position,gender
->,Émilie Béatrice Epaye,Minister of Industry and Trade->Ministre du Commerce et de l'Industrie,female
->,Sylvain Maliko,"Minister of Economy, Planning and International Cooperation->Ministre d'État au Plan, à l'Économie et à la Coopération Internationale",NULL->male
---,Théodore Dabanga,Minister of Finance,
---,Sylvain Mbutingaye,Minister of Energy and Mines,
---,Solange Pagonéndji N'dackala,"Minister of Family, Social Affairs and National Solidarity",
---,Paul Otto,Minister of Justice,
---,Job Izima,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security",
---,Fidèle Gounadjika,"Minister of Posts and Telecommunications, New Technologies",
---,Faustin-Archange Touadéra,Prime Minister of the Central African Republic,male
---,Dieudonné-Stanislas M’Bangot,Minister of Relations with the Parliament,male
---,Desire Kolingba,Minister of Youth and Sport,male
---,Charles Massi,"Minister of Works, Civil Aviation and Transport",male
---,Anne-Marie N'gouyombo,Minister of Tourism and Craft Industry Development,female
+++,Élie Wefio,Ministre de l'Administration du Territoire et de la Décentralisation,male
+++,Zingas Aurélien Simplice,"Ministre de la Jeunesse, des Sports, des Arts et de la Culture",male
+++,Youssoufa Yerima Mandjo,"Ministre délégué auprès du Ministre du Développement Rural et de l'Agriculture, chargé de l'Élevage et de la Santé Animale",male
+++,Thierry Savonaroye Maléyombo,"Ministre des Postes et Télécommunications, chargé des Nouvelles Technologies",male
+++,Sylvain Doutingaï,"Ministre d'État aux Mines, à l'Énergie et à l'Hydraulique",
+++,Moïse Kotaye,"Ministre de la Promotion des Petites et Moyennes Entreprises, du Secteur Informel et du Guichet Unique",
+++,Marie Solange Pagonendji Ndakala,Ministre du Développement du Tourisme et de l'Artisanat,female
+++,Laurent Gon Baba,"Ministre de la Justice, Garde des Sceaux",male
+++,Jules Bernard Ouandé,Ministre de la Sécurité Nationale et de l'Ordre Public,
+++,Jean Chrysostome Meckondongo,"Ministre délégué auprès du Ministre d'État aux Mines, à l'Énergie et à l'hydraulique chargé de l'Énergie et de l'Hydraulique",male
+++,Gaston Mackouzangba,"Ministre de la Fonction Publique, du Travail, de la Sécurité Sociale et de l'Insertion professionnelle des Jeunes",male
+++,François Naoyama,Ministre de l'Environnement et de l'Écologie,
+++,Fidèle Gouandjika,Ministre du Développement Rural et de l'Agriculture,male
+++,Faustin Touadéra,Premier ministre,
+++,Faustin N'Telnoumbi,Ministre de la Reconstruction des Édifices Publics et de l'Urbanisme,male
+++,Emmanuel Bizot,"Ministre des Eaux, Forêts, Chasses et Pêche",male
+++,Désiré Kolingba,Ministre chargé du Secrétariat Général du Gouvernement et des Relations avec les Institutions,male
+++,Djollo-Djidou,Ministre de l'Habitat et du Logement,male
+++,Djibrine Sall,"Ministre délégué auprès du Ministre de l'Éducation Nationale, de l'Enseignement Supérieur, de la Recherche, chargé de l'Enseignement Primaire, Secondaire, Technique et de l'Alphabétisation",male
+++,Cyriaque Samba-Panza,Ministre de l'Équipement et du Désenclavement,male
+++,Cyriaque Gonda,"Ministre d'État chargé de la Communication, du Civisme, de la Réconciliation nationale et du Suivi du Dialogue",male
+++,Bozizé Francis,"Ministre délégué à la Présidence de la République Chargé de la Défense Nationale, des Anciens Combattants, des Victimes de Guerre, du Désarmement et de la Restructuration de l'Armée",male
+++,Bernadette Say,"Ministre des Affaires Sociales, de la Solidarité nationale et de la Famille",female
+++,Antoine Gambi,"Ministre des Affaires Étrangères, de l'Intégration Régionale et de la Francophonie",
+++,Anicet Parfait Mbay,Ministre d'État aux Transports et à l'Aviation Civile,
+++,André Nalke-Dorogo,"Ministre de la Santé Publique, de la Population et de la Lutte Contre le Sida",
+++,Ambroisine Kpongo,"Ministre délégué auprès du Ministre des Affaires Étrangères, de l'Intégration Régionale et de la Francophonie",female
+++,Ambroise Zawa,"Ministre de l'Éducation Nationale, de l'Enseignement Supérieur et de la Recherche",male
+++,Albert Bessé,Ministre des Finances et du Budget,male
+++,Adouma Raymond,"Ministre délégué auprès du Ministre d'État au Plan, à l'Économie et à la Coopération Internationale",male
+++,Abdallah Kadi Hassan,Ministre Délégué auprès du Ministre des Finances et du Budget chargé de la Mobilisation des Ressources Financières,male
