@@,name,position
->,Élie Doté,"Prime Minister of the Central African Republic->Premier ministre, chef du Gouvernement"
->,Théodore Dabanga,Minister of Finance->Ministre des Finances et du Budget
->,Paul Otto,"Minister of Justice->Ministre de la Justice, Garde des sceaux"
->,Jean-Paul Ngoupandé,"Minister of Foreign Affairs->Ministre d'État aux Affaires Étrangères, Intégration Régionale et Francophonie"
->,Charles Massi,"Minister of Works, Civil Aviation and Transport->Ministre d'État à l’Équipement, Transport et Aviation Civile"
---,Émilie Béatrice Epaye,Minister of Industry and Trade
---,Timoleon Mbaikoua,Minister of Education
---,Sylvain Mbutingaye,Minister of Energy and Mines
---,Sylvain Maliko,"Minister of Economy, Planning and International Cooperation"
---,Solange Pagonéndji N'dackala,"Minister of Family, Social Affairs and National Solidarity"
---,Job Izima,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights"
---,Jean-Eudes Teya,"Minister of Water, Forests, Hunting and Fishing"
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security"
---,Fidèle Gounadjika,"Minister of Posts and Telecommunications, New Technologies"
---,Dieudonné-Stanislas M’Bangot,Minister of Relations with the Parliament
---,Desire Kolingba,Minister of Youth and Sport
---,Bernard Gonda,"Minister of Reconstruction of Public Buildings, Urban Development and Housing"
---,Anne-Marie N'gouyombo,Minister of Tourism and Craft Industry Development
+++,"le Général d'Armée François Bozizé, Chef de l’État","Ministre de la Défense nationale, des Anciens combattants, des Victimes de guerre, du Désarmement et de la Restructuration de l'Armée"
+++,Timoléon Mbaïkoua,"Ministre de la Reconstruction, des Édifices Publics, de l'Urbanisme et du Logement"
+++,Sylvain Malicko,"Ministre de l'Économie, du Plan et de la Coopération Internationale"
+++,Nicolas Nganzé Doukou,Ministre délégué auprès du ministre des Finances et du budget
+++,Marie-Solange Pagonéndji Ndakala,"Ministre de la famille, des Affaires Sociales et de la solidarité nationale"
+++,Lieutenant-colonel Michel Sallé,"Ministre de l'Intérieur, chargé de la Sécurité Publique"
+++,Laurent N'gon-Baba,Ministre chargé du Secrétariat général du gouvernement et des Relations avec le Parlement
+++,Jean-Prosper Wodobodé,"Ministre délégué auprès du Ministre d'État chargé de l'Équipement, des Transports et de l'Aviation Civile, chargé de l'équipement"
+++,Jean-Eudes Téya,"Ministre d'État à la Communication, de la Réconciliation Nationale, de la Culture Démocratique et de la Promotion des Droits de l'Homme"
+++,Jacques Boti,"Ministre de la Fonction publique, du Travail, de la Sécurité sociale, de l’insertion professionnelle et de jeunes"
+++,Fidèle Gouandjika,"Ministre des Postes et Télécommunications, chargé des Nouvelles technologies"
+++,Emmanuel Bizzo,"Ministre aux Eaux, Forêts, Chasses et Pêche, chargé de l'Environnement"
+++,Emilie Béatrice Epaye,"Ministre du Commerce, de l'Industrie et des PME"
+++,Désiré Kolingba,"Ministre de la Jeunesse, des Sports, des Arts et de la Cullture"
+++,Commandant Sylvain N'doutingaï,Ministre des Mines et de l'Énergie et de l’Hydraulique
+++,Colonel Mohammed Mahadji Marboua,Ministre du Développement du Tourisme et de l'Artisanat
+++,Colonel Anicet Parfait Mbay,Ministre du Développement rural
+++,Charles-Armel Doubane,"Ministre de l'Education Nationale, de l’Alphabétisation, Enseignement supérieur et Recherche"
+++,Bernard Lala Konamna,Ministre de la Santé publique et de la Population
+++,Aurélien-Simplice Zingas,"Ministre délégué auprès du Ministre de l'Éducation Nationale, chargé de l'enseignement Primaire et Secondaire"
+++,Ambroisine Kpongo,Ministre délégué auprès du Ministre d'État chargé des Affaires Étrangères de l'intégration Régionale et de la Francophonie
+++,Adamou Mahamat,"Ministre délégué auprès du ministre du Développement rural, chargé de l'agriculture"
