minister,country,startdate,enddate,position
Abdou Karim Meckassoua,CAR,2003-03-31,2003-12-15,"Foreign Affairs, Regional Integration and Francophone Affairs"
Abel Goumba,CAR,2003-03-31,2003-12-15,Prime Minister
Abraham Gotobulu,CAR,2003-03-31,2005-06-19,Housing and Town Planning
Aimé Amoudou,CAR,2003-12-15,2004-09-02,"Trade, Industry and Private Sector Promotion"
Alexis Gomba,CAR,2001-04-06,2003-03-15,"Economy, Planning and Cooperation"
Andre Latou,CAR,1999-11-02,2001-04-06,Energy and Mines
Andre Nalke-Dorogo,CAR,2000-04-17,2001-04-06,Town Planning and Public Buildings
Andre Toby Kotazo,CAR,2001-08-31,2003-03-15,"Public Works, Transport, Marginalized Regions and Settlement"
Anne-Marie N'gouyombo,CAR,2005-06-19,2013-03-24,Tourism and Craft Industry Development
Antoine Grothe,CAR,2000-04-17,2001-04-06,Justice
Aristide Sokambi,CAR,1999-11-02,2000-04-17,"Equipment, Territorial Development and Town Planning"
Bernard Gonda,CAR,2005-06-19,2013-03-24,"Reconstruction of Public Buildings, Urban Development and Housing"
Bernard Yoro,CAR,1999-11-02,2001-04-06,Youth and Sport
Bevaroua Lala,CAR,2003-03-31,2003-12-15,"National Education, Literacy, Higher Education and Research"
Bruno Dacko,CAR,2003-03-31,2005-06-19,Tourism and Craft Industry Development
Bruno Vickos,CAR,1999-11-02,2001-04-06,"Civil Service, Posts and Telecommunications"
Béatrice-Emilie Epaye,CAR,2005-06-19,2013-03-24,Industry and Trade
Charles Massi,CAR,2005-06-19,2013-03-24,"Works, Civil Aviation and Transport"
Charles Wenezoui,CAR,2003-12-15,2005-06-19,"Foreign Affairs, Regional Integration and Francophone Affairs"
Célestin Gaombalet,CAR,2003-12-15,2005-06-19,Prime Minister
Daniel Emery Dede,CAR,1999-11-02,2000-04-17,Agriculture and Livestock
Daniel Emery Dede,CAR,2003-12-15,2004-09-02,Agricultural Modernisation and Development
Daniel Nditifei Boysembe,CAR,2004-09-02,2005-06-19,"Economy, Finance and Planning"
Denis Kosibela,CAR,2003-03-31,2004-09-02,Livestock Development
Didier Wangué,CAR,2004-09-02,2005-06-19,Trade
Dieudonné-Stanislas M'bangot,CAR,2005-06-19,2013-03-24,Relations with the Parliament
Désiré Kolingba,CAR,2004-01-07,2013-03-24,Youths and Sports
Elie Doté,CAR,2005-06-19,2013-03-24,Prime Minister
Eloi Anguimate,CAR,1999-11-02,2001-04-06,Education
Eric Sorongope,CAR,2001-04-06,2003-03-15,Finance
Faustin Baudou,CAR,2003-03-31,2003-12-15,"Justice, Human Rights and Good Governance"
Fidèle Gounadjika,CAR,2005-06-19,2013-03-24,"Posts and Telecommunications, New Technologies"
Francis Albert Ouakanga,CAR,1999-11-02,2001-04-06,Communications
Gabriel Dote Badekara,CAR,2000-04-17,2001-04-06,Promotion of Rural Life
Gabriel Jean Edouard Koyambonou,CAR,2001-04-06,2003-03-15,Posts and Telecommunications
Guy Kolingba,CAR,2003-12-15,2004-01-07,Youths and Sports
Hyacinthe Wodobode,CAR,2003-03-31,2003-12-15,"Trade, Industry and Private Sector Promotion"
Ibrahim nee Ndoma Francoise,CAR,2001-04-06,2003-03-15,Family and Social Affairs
Idriss Salao,CAR,2003-03-31,2005-06-19,"Posts and Telecommunications, New Technologies"
Jacob M'Baitadjim,CAR,2001-04-06,2003-03-15,Industry and Trade
Jacques Voti,CAR,2003-03-31,2013-03-24,"Civil Service, Labour and Social Security"
Jacquesson Mazette,CAR,2003-01-15,2003-03-15,Interior
Jean -Jacques Demafouth,CAR,1999-11-02,2001-08-26,Defence
Jean-Baptiste Koyassambia,CAR,1999-11-02,2001-04-06,Industry and Trade
Jean-Baptiste Nouganga,CAR,1999-11-02,2000-04-17,"Environment, Water, Forests, Hunting and Fisheries"
Jean-Dominique Ndarata,CAR,2001-04-06,2003-03-15,Youth and Sport
Jean-Eudes Teya,CAR,2005-06-19,2013-03-24,"Water, Forests, Hunting and Fishing"
